Title,Flawless ,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
Galaxy - Note T-Mobile 16GB White,260,200,100,Galaxy,Note,1,,16GB,T-Mobile,White,,,,,,
Galaxy - Note AT&T 16GB White,260,200,100,Galaxy,Note,1,,16GB,AT&T,White,,,,,,
Galaxy - Note Unlocked 32GB Black,350,300,150,Galaxy,Note,1,,32GB,Factory Unlocked,Black,,,,,,
Galaxy - Note Unlocked 16GB Black,300,250,120,Galaxy,Note,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy - Note T-Mobile 16GB Black,260,200,100,Galaxy,Note,1,,16GB,T-Mobile,Black,,,,,,
Galaxy - Note AT&T 16GB Black,260,200,100,Galaxy,Note,1,,16GB,AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
Galaxy S3 Unlocked - 32GB White,450,400,150,Galaxy,S III,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy S3 Unlocked - 32GB Black,450,400,150,Galaxy,S III,1,,32GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 32GB Brown,450,400,150,Galaxy,S III,1,,32GB,Factory Unlocked,Brown,,,,,,
Galaxy S3 Unlocked - 32GB Red,450,400,150,Galaxy,S III,1,,32GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Unlocked - 16GB  White,450,400,150,Galaxy,S III,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy S3 Unlocked - 16GB  Black,450,400,150,Galaxy,S III,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 16GB  Brown,430,370,130,Galaxy,S III,1,,16GB,Factory Unlocked,Brown,,,,,,
Galaxy S3 Unlocked - 16GB  Red,450,400,150,Galaxy,S III,1,,16GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Sprint - 32GB White,430,350,130,Galaxy,S III,1,,32GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 32GB Black,400,330,100,Galaxy,S III,1,,32GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 32GB Brown,300,250,120,Galaxy,S III,1,,32GB,Sprint,Brown,,,,,,
Galaxy S3 Sprint - 32GB Red,450,400,150,Galaxy,S III,1,,32GB,Sprint,Red,,,,,,
Galaxy S3 Sprint - 16GB White,350,300,150,Galaxy,S III,1,,16GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 16GB Black,320,270,130,Galaxy,S III,1,,16GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 16GB Brown,250,200,100,Galaxy,S III,1,,16GB,Sprint,Brown,,,,,,
Galaxy S3 Sprint - 16GB Red,350,280,170,Galaxy,S III,1,,16GB,Sprint,Red,,,,,,
Galaxy S3 T-Mobile - 32GB White,430,350,130,Galaxy,S III,1,,32GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 32GB Black,400,330,100,Galaxy,S III,1,,32GB,T-Mobile,Black,,,,,,
Galaxy S3 T-Mobile - 32GB Brown,300,250,120,Galaxy,S III,1,,32GB,T-Mobile,Brown,,,,,,
Galaxy S3 T-Mobile - 32GB Red,450,400,150,Galaxy,S III,1,,32GB,T-Mobile,Red,,,,,,
Galaxy S3 T-Mobile - 16GB White,350,300,150,Galaxy,S III,1,,16GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 16GB Black,320,270,130,Galaxy,S III,1,,16GB,T-Mobile,Black,,,,,,
Galaxy S3 T-Mobile - 16GB Brown,250,200,100,Galaxy,S III,1,,16GB,T-Mobile,Brown,,,,,,
Galaxy S3 T-Mobile - 16GB Red,350,280,170,Galaxy,S III,1,,16GB,T-Mobile,Red,,,,,,
Galaxy S3 AT&T - 32GB White,430,350,130,Galaxy,S III,1,,32GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 32GB Black,400,330,100,Galaxy,S III,1,,32GB,AT&T,Black,,,,,,
Galaxy S3 AT&T - 32GB Brown,300,250,120,Galaxy,S III,1,,32GB,AT&T,Brown,,,,,,
Galaxy S3 AT&T - 32GB Red,450,400,150,Galaxy,S III,1,,32GB,AT&T,Red,,,,,,
Galaxy S3 AT&T - 16GB White,350,300,150,Galaxy,S III,1,,16GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 16GB Black,320,270,130,Galaxy,S III,1,,16GB,AT&T,Black,,,,,,
Galaxy S3 AT&T - 16GB Brown,250,200,100,Galaxy,S III,1,,16GB,AT&T,Brown,,,,,,
Galaxy S3 AT&T - 16GB Red,350,280,170,Galaxy,S III,1,,16GB,AT&T,Red,,,,,,
,,,,,,,,,,,,,,,,
Galaxy - S II - Unlocked - 16GB White,300,270,120,Galaxy,S II,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy - S II - Unlocked - 16GB Black,240,200,100,Galaxy,S II,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy - S II - Sprint - 32GB White,270,240,120,Galaxy,S II,1,,32GB,Sprint,White,,,,,,
Galaxy - S II - Sprint - 32GB Black,270,240,120,Galaxy,S II,1,,32GB,Sprint,Black,,,,,,
Galaxy - S II - Sprint - 16GB White,200,170,90,Galaxy,S II,1,,16GB,Sprint,White,,,,,,
Galaxy - S II - Sprint - 16GB Black,200,170,90,Galaxy,S II,1,,16GB,Sprint,Black,,,,,,
Galaxy - S II - T-Mobile - 32GB White,270,240,120,Galaxy,S II,1,,32GB,T-Mobile,White,,,,,,
Galaxy - S II - T-Mobile - 32GB Black,270,240,120,Galaxy,S II,1,,32GB,T-Mobile,Black,,,,,,
Galaxy - S II - T-Mobile - 16GB White,200,170,90,Galaxy,S II,1,,16GB,T-Mobile,White,,,,,,
Galaxy - S II - T-Mobile - 16GB Black,200,170,90,Galaxy,S II,1,,16GB,T-Mobile,Black,,,,,,
Galaxy - S II AT&T 32GB White,270,240,120,Galaxy,S II,1,,32GB,AT&T,White,,,,,,
Galaxy - S II AT&T 32GB Black,270,240,120,Galaxy,S II,1,,32GB,AT&T,Black,,,,,,
Galaxy - S II AT&T 16GB White,200,170,90,Galaxy,S II,1,,16GB,AT&T,White,,,,,,
Galaxy - S II AT&T 16GB Black,200,170,90,Galaxy,S II,1,,16GB,AT&T,Black,,,,,,
